DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,1990,24171,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,1991,25542,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,1992,27572,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,1993,28864,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,1994,30406,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,1995,30228,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,1996,30200,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,1997,30627,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,1998,31025,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,1999,31384,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2000,31538,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2001,31576,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2002,31915,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2003,32354,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2004,34738,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2005,36790,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2006,37575,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2007,38705,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2008,39622,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2009,40303,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2010,40296,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2011,38252,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2012,38252,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2013,37408,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Andorra,2019,37388,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2000,1526762,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2001,1535822,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2002,1532563,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2003,1526180,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2004,1520481,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2005,1512745,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2006,1503969,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2007,1492439,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2008,1480358,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2009,1468935,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2010,1459025,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2011,1451691,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2012,1444234,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2013,1437193,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2014,1430827,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2015,1424597,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2016,1417141,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2017,1423050,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2018,1431715,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2019,1432833,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2020,1425342,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2021,1419759,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2022,1406532,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Albania,2023,1394864,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2000,1681200,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2001,1672200,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2002,1670500,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2003,1666700,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2004,1665500,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2005,1665200,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2006,1665123,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2007,1665554,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2008,1667529,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2009,1669711,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2010,1673656,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2011,1679066,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2012,1684000,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2015,1571450,,
ESTAT:DEMO_PJAN(1.0),14/10/25 23:00:00,Annual,Number,Total,Females,Armenia,2016,1569535,,
